starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.5e-05,8e-06,7.000000000000003e-06,2e-05,7.000000000000003e-06,1e-05,8e-06,1.4e-05,1.3e-05,3.4e-05,0.047986,2e-05,7.000000000000003e-06,2.1e-05,5e-05,1e-05,3.7e-05,3e-05,0.048337,24054,24054.0,1606374183.5529735
3.9e-05,5e-06,6e-06,1.6e-05,7.000000000000003e-06,8e-06,5e-06,1e-05,9e-06,2.4e-05,0.025041,1.1e-05,6e-06,1.6e-05,4.9e-05,8e-06,3.2e-05,1.1e-05,0.025303,24401,24401.0,1606374243.6505725
4.3e-05,6e-06,7.000000000000003e-06,1.9e-05,7.000000000000003e-06,8e-06,6e-06,1e-05,9e-06,2.5e-05,0.047093,2e-05,7.000000000000003e-06,2.3e-05,7.3e-05,1e-05,3.8e-05,1.4e-05,0.047418,24749,24749.0,1606374303.772904
5.600000000000001e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.3e-05,0.027938,1.4000000000000001e-05,6e-06,1.7e-05,4.3e-05,9e-06,3.2e-05,1.2e-05,0.02825,25088,25088.0,1606374363.8775744
5.1e-05,7.000000000000003e-06,8e-06,2.1e-05,9e-06,1e-05,7.000000000000003e-06,1.2e-05,1.3e-05,3.1e-05,0.052193,1.7e-05,7.000000000000003e-06,2e-05,5.600000000000001e-05,9e-06,3.6e-05,1.4e-05,0.052521000000000005,25432,25432.0,1606374424.004628
5.400000000000001e-05,6e-06,7.000000000000003e-06,2.2e-05,9e-06,1.1e-05,7.000000000000003e-06,1.2e-05,1.2e-05,3.2e-05,0.027608999999999998,1.2e-05,6e-06,1.7e-05,4.7e-05,8e-06,3.4e-05,1.1e-05,0.027916000000000003,25768,25768.0,1606374484.063504
5e-05,7.000000000000003e-06,7.000000000000003e-06,2.2e-05,8e-06,9e-06,8e-06,1.3e-05,1.2e-05,3e-05,0.053558,1.7e-05,7.000000000000003e-06,2.1e-05,7.4e-05,1.2e-05,3.8e-05,1.5e-05,0.053908000000000005,26153,26153.0,1606374544.1948078
5.400000000000001e-05,7.000000000000003e-06,8e-06,2.3e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.1e-05,0.053235000000000005,1.6e-05,8e-06,2e-05,6.3e-05,1.1e-05,3.8e-05,1.3000000000000001e-05,0.053579999999999996,26486,26486.0,1606374604.328982
5.1e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1e-05,7.000000000000003e-06,1.2e-05,1.3e-05,3.1e-05,0.056078,1.9e-05,7.000000000000003e-06,2.2e-05,7.5e-05,1.1e-05,3.6e-05,1.4e-05,0.056431,26819,26819.0,1606374664.4651935
6.8e-05,7.000000000000003e-06,9e-06,2.5e-05,9e-06,1e-05,9e-06,1.4000000000000001e-05,1.3000000000000001e-05,3.5e-05,0.054501999999999995,1.7e-05,8e-06,2.4e-05,6.2e-05,1.1e-05,4e-05,1.4999999999999999e-05,0.054877999999999996,27143,27143.0,1606374724.5998898
5.1e-05,7.000000000000003e-06,7.000000000000003e-06,2.3e-05,8e-06,1e-05,8e-06,1.2e-05,1.3e-05,3e-05,0.056012,1.8e-05,7.000000000000003e-06,2.6e-05,0.000124,1.1e-05,3.9e-05,1.4e-05,0.05642000000000001,27466,27466.0,1606374784.7375321
4.5e-05,6e-06,7.000000000000003e-06,2e-05,7.000000000000003e-06,9e-06,7.000000000000003e-06,1.2e-05,1.1e-05,2.8000000000000013e-05,0.029051999999999998,1.1e-05,6e-06,1.7e-05,4.5e-05,9e-06,3.3e-05,1.4000000000000001e-05,0.029338999999999997,27789,27789.0,1606374844.8501868
4.8e-05,7.000000000000003e-06,8e-06,2.1e-05,8e-06,9e-06,7.000000000000003e-06,1.2e-05,1.2e-05,2.9e-05,0.035981,1.7e-05,7.000000000000003e-06,1.9e-05,5.7e-05,1.1e-05,3.5e-05,1.4e-05,0.036302,28108,28108.0,1606374904.9648345
