starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,executing,end,query end,waiting for handler commit,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
7.900000000000001e-05,8e-06,1.4000000000000001e-05,7.900000000000001e-05,1e-05,1e-05,1.8e-05,2.4e-05,8.2e-05,2.088911,1.8e-05,7.000000000000003e-06,0.00137,1.4000000000000001e-05,2.2e-05,1.7e-05,2.0906830000000003,71658,13134.9114,1606376509.173619
8.3e-05,8e-06,1.4e-05,8.4e-05,1e-05,1e-05,1.7e-05,2.4e-05,8.1e-05,2.551174,2.3e-05,7.000000000000003e-06,0.001424,1.5e-05,2.1e-05,1.7e-05,2.553012,72258,13244.8914,1606376575.445518
8.3e-05,8e-06,1.4000000000000001e-05,8.2e-05,1.1e-05,1.1e-05,1.8e-05,2.7000000000000002e-05,8.3e-05,1.672482,1.9e-05,7.000000000000003e-06,0.001437,1.4999999999999999e-05,2.3e-05,1.8e-05,1.674338,72872,13357.437599999996,1606376642.5721338
8.2e-05,8e-06,1.4e-05,8.1e-05,1e-05,1e-05,1.7e-05,2.3e-05,8.1e-05,1.798289,1.8e-05,7.000000000000003e-06,0.000909,1.2e-05,2e-05,1.5e-05,1.799596,73468,13466.6844,1606376709.332242
7.900000000000001e-05,8e-06,1.4000000000000001e-05,8e-05,1.1e-05,1e-05,1.7e-05,2.5e-05,8.1e-05,3.208387,1.9e-05,7.000000000000003e-06,0.00133,1.4999999999999999e-05,2.2e-05,1.7e-05,3.210122,74060,13575.198,1606376776.5688374
7.900000000000001e-05,8e-06,1.5e-05,8e-05,1.1e-05,1e-05,1.7e-05,2.4e-05,7.900000000000001e-05,3.020039,2.4e-05,9e-06,0.001418,1.7e-05,2.5e-05,1.9e-05,3.021874,74662,13685.5446,1606376842.9427533
8e-05,7.000000000000003e-06,1.4000000000000001e-05,8e-05,1e-05,1e-05,1.7e-05,2.3e-05,8.1e-05,2.232095,1.9e-05,7.000000000000003e-06,0.00137,1.4000000000000001e-05,2.1e-05,1.6e-05,2.233864,75248,13792.9584,1606376910.0376437
8.2e-05,8e-06,1.5e-05,8e-05,1.1e-05,1e-05,1.9e-05,4.2e-05,7.900000000000001e-05,2.583438,1.9e-05,8e-06,0.001343,1.6e-05,2.3e-05,1.8e-05,2.585211,75838,13901.1054,1606376976.3909204
8e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1e-05,1.8e-05,2.3e-05,9.9e-05,3.482509,2e-05,8e-06,0.001382,1.4000000000000001e-05,2.2e-05,1.6e-05,3.4843129999999998,76422,14008.152599999998,1606377043.7267518
8e-05,8e-06,1.4e-05,8e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8e-05,3.515712,2.1e-05,8e-06,0.001328,1.7e-05,2.2e-05,1.9e-05,3.517452,77004,14114.8332,1606377111.9046779
